=== [缓存] 料理列表和助手效果 ===

--- 通用料理 ---
101 飯団 | 汎用 | 和食/米/咸/简易/質素/機能的/家庭的
49 さとり | 从心底萌发的幻想 | 甜味料 | 洋食/蛋糕/卵/牛奶/甜/質素/上品/家庭的/软绵绵/地底風
50 フラン | 蔓越莓陷阱 | 草莓,树莓 | 洋食/甜/甜/甜/心跳味/上品/新鲜/怪诞/血の魔力
51 にとり | 小黄瓜 | 黄瓜 | 和食/葉物/開胃/野菜/酸/简易/垃圾/濃厚/質素/家庭的
52 鈴仙 | 狂气之赤红煎鸡蛋 | 卵,奇妙な卵 | 卵/咸/简易/健康/温暖/家庭的/新鲜/怪诞/妖力/玉兎流
53 てゐ | 紅白膾 | 高级食材,胡萝卜 | 和食/野菜/酸/简易/健康/幸運
54 パチュリー | 魔卡杯蛋糕 | 魔法菌菇 | 洋食/蛋糕/卵/牛奶/甜/上品/芸術的/家庭的/软绵绵/魔力/彩り
55 白蓮 | 素齋 | 胡萝卜,马铃薯,芜菁,山菜 | 和食/煮物/米/野菜/豆/酸/简易/健康/淡白/温暖/質素/野趣/家庭的
56 神子 | 蘇 | 汎用 | 和食/牛奶/乳酪/甜/上品/濃厚/豪華
57 こころ | 蜜意人形烧 | 甜味料 | 和食/饅頭/卵/甜/芸術的/芸術的/芸術的/软绵绵
58 美鈴 | 彩色小籠包 | 獣肉,洋葱,白菜 | 中華/獣肉/野菜/咸/简易/濃厚/温暖/芸術的/新鲜/彩り
59 小悪魔 | 恶魔饭团 | 平价食材 | 和食/飯団/米/咸/简易/垃圾/濃厚/質素/質素/機能的/家庭的/魔力/魔界風
60 パルスィ | 烤年糕 | 汎用 | 和食/米/咸/简易/淡白/温暖/春物/質素/家庭的/软糯的/嫉妬
61 妹紅 | 日式鸡肉串 | 鳥肉,野雞肉 | 和食/開胃/肉料理/鳥肉/咸/濃厚/温暖/家庭的
62 輝夜 | 蓬莱冰棒玉枝 | 仙桃 | 冰淇淋/甜/甜/冷/豪華/芸術的/新鲜/月都風/彩り
63 影狼 | 野味菜 | 獣肉,鳥肉,野雞肉 | 肉料理/獣肉/鳥肉/咸/丰盛/濃厚/温暖/野趣/野趣/野趣/豪快/強精
64 勇儀 | 牡丹火鍋 | 獣肉 | 肉料理/野菜/和食/鍋物/丰盛/濃厚/芸術的/野趣/咸
65 椛 | 枫叶馒头 | 甜味料 | 和食/饅頭/卵/甜/濃厚/秋物/芸術的/上品/软绵绵/天狗流
66 幽々子 | 桜餅 | 甜味料 | 和食/甜/简易/春物/芸術的/上品/新鲜/软糯的/冥界風
67 慧音 | 满月乌冬面 | 卵,奇妙な卵 | 和食/麺類/卵/咸/简易/淡白/温暖/温暖/芸術的/家庭的/黏稠
68 幽香 | 向日葵华夫饼 | 甜味料 | 洋食/卵/牛奶/甜/丰盛/濃厚/温暖/夏物/芸術的/松脆/夢幻風
69 マミゾウ | 狸猫荞麦面 | 汎用 | 和食/麺類/咸/简易/淡白/中立温度/中立温度/上品/芸術的
70 小鈴 | 铃铛蛋糕 | 甜味料 | 和食/卵/甜/芸術的/家庭的/软糯的
71 針妙丸 | 小人面包 | 汎用 | 洋食/面包/甜/简易/機能的/松脆/魔力
72 永琳 | 超营养饮料 | 栄養飲料,高麗人参 | 饮用/简易/健康/機能的/機能的/機能的/薬膳
73 蛮奇 | 飞头馒头 | 獣肉,竹笋,白菜 | 中華/肉包/辣/濃厚/温暖/温暖/冬物/芸術的/怪诞/软糯的
74 レティ | 雪人冰淇淋 | 冰淇淋 | 洋食/冰淇淋/牛奶/甜/冷/冷/冬物/芸術的/氷結
75 メディスン | 鈴蘭団子 | 甜味料 | 和食/団子/甜/健康/質素/野趣/软糯的/妖力
76 小町 | 人之魂 | 彷徨灵魂 | 和食/甜/淡白/淡白/冷/質素/软绵绵/霊障/冥界風
77 静葉 | 红叶天妇罗 | 山菜 | 和食/油炸食品/天麩羅/野菜/咸/简易/健康/淡白/温暖/秋物/質素/家庭的/野趣/野趣/松脆
78 穣子 | 日式烤红薯 | 马铃薯 | 洋食/野菜/甜/濃厚/温暖/秋物/野趣/家庭的
79 雛 | 雏霰 | 甜味料 | 和食/豆/甜/芸術的/新鲜/松脆
80 阿求 | 求聞雑燴粥 | 高级食材 | 和食/汁物/米/野菜/豆/酸/健康/淡白/温暖/質素/質素/家庭的/黏稠/秘術/薬膳
81 蓮子 | 营养效率辅助食品 | 栄養飲料,運動飲料 | 简易/健康/機能的/機能的/機能的/薬効/外界風
82 メリー | 桑葚面包 | 汎用 | 洋食/面包/甜/上品/新鲜/软绵绵
83 キスメ | 一桶茶碗蒸 | 普通的菌菇,芜菁,南瓜,卵,奇妙な卵 | 和食/野菜/卵/甜/丰盛/健康/淡白/豪快/上品/扑鼻
84 ヤマメ | 虫子面包 | 稀有昆虫,虫 | 洋食/面包/虫肉/甜/野趣/野趣/怪诞
85 一輪 | 入道棉花糖 | 甜味料 | 和食/甜/濃厚/夏物/豪快/豪快/软绵绵/妖力
86 ムラサ | 深海料理 | 好吃的魚 | 魚料理/咸/丰盛/淡白/野趣/豪快/怪诞/霊障
87 星 | 餓虎牛排 | 獣肉 | 洋食/牛扒/肉料理/香料/咸/丰盛/濃厚/温暖/豪華/野趣/豪快
88 響子 | 碗子荞麦面 | 汎用 | 和食/麺類/咸/简易/淡白/温暖/温暖/上品/芸術的
89 芳香 | 塩辛納豆 | 汎用 | 和食/豆/野菜/野趣/咸/濃厚/質素/怪诞
90 青娥 | 皮蛋 | 卵,奇妙な卵 | 中華/卵/咸/简易/淡泊/怪诞/霊障
91 屠自古 | 雷粔籹 | 甜味料 | 和食/米/甜/質素/松脆
92 布都 | 可食用餐盤 | 汎用 | 和食/米/甜/简易/淡泊/機能的/松脆
93 わかさぎ姫 | 人鱼芭菲 | 氷之鱗 | 洋食/冰淇淋/芭菲/果物/甜/甜/冷/夏物/豪華/芸術的/新鲜/扑鼻/闪耀
94 弁々 | 枇杷果冻 | 甜味料 | 果物/甜/冷/新鲜/家庭的/扑鼻
95 八橋 | 京八桥 | 甜味料 | 和食/米/甜/質素/上品/松脆
96 雷鼓 | 太鼓烧 | 甜味料 | 和食/饅頭/甜/芸術的/家庭的/软糯的
97 正邪 | 逆汉堡 | 獣肉 | 洋食/漢堡/面包/肉料理/獣肉/野菜/香料/乳酪/咸/丰盛/垃圾/濃厚/温暖/新鲜/機能的/謎料理/逆転
98 依姫 | 星型金平糖 | 甜味料 | 甜/甜/甜/新鲜/芸術的
99 豊姫 | 海幸山幸 | 高级食材 | 肉料理/魚料理/淡白/豪華/上品/新鲜/彩り/美味的水
100 レイセン | 胡萝卜炒蛋 | 胡萝卜 | 野菜/卵/質素/甜/健康/家庭的/胡萝卜/胡萝卜/胡萝卜/胡萝卜/胡萝卜
101 朱鷺子 | 水果三明治 | 甜味料,草莓,仙桃 | 洋食/面包/果物/甜/新鲜/機能的/家庭的
102 神綺 | 魔界风菌菜烘蛋 | 南瓜,胡萝卜,马铃薯,普通的菌菇 | 洋食/卵/野菜/乳酪/咸/濃厚/温暖/上品/家庭的/家庭的/魔界風/软绵绵
103 夢子 | 魔界風炖肉 | 马铃薯,南瓜,胡萝卜,洋葱,卷心菜,白菜,芜菁,番茄,獣肉,鳥肉 | 洋食/野菜/牛奶/甜/濃厚/上品/黏稠/家庭的/機能的/魔界風
104 ユキ | 火鍋・Esoteria | 獣肉 | 鍋物/獣肉/野菜/香料/濃厚/新鲜/温暖/辣/辣/酸/酸
105 マイ | 維納・咖啡 | 甜味料 | 洋食/汁物/牛奶/上品/软绵绵/甜
106 菫子 | 靈異珠糖球 | 甜味料 | 甜/甜/新鲜/豪華/芸術的
107 清蘭 | 草莓汤圆 | 草莓,树莓 | 和食/団子/甜/简易/芸術的/新鲜/软糯的/玉兎流/薬効
108 鈴瑚 | 鈴瑚印の団子 | 仙桃 | 和食/団子/甜/質素/家庭的/豪快/软糯的/玉兎流/魔性
109 ドレミー | 謎の夢魂菓子 | 彷徨灵魂 | 未知の味/未知の味/未知の味/濃厚/新鲜/謎料理/软绵绵/软糯的/魔力
110 サグメ | 神秘果果凍 | 甜味料 | 甜/酸/上品/冷/芸術的/新鲜/扑鼻
111 クラウンピース | 阿比斯汉堡 | 獣肉,來歷不明的肉 | 洋食/漢堡/面包/肉料理/獣肉/香料/乳酪/辣/丰盛/垃圾/濃厚/温暖/新鲜/機能的/怪诞/地獄風/隠し味
112 純狐 | 月餅 | 甜味料 | 中華/甜/上品/软绵绵/芸術的/魔性/加護
113 ヘカーティア | 三色地狱肉松盖饭 | 鳥肉,卵,奇妙な卵 | 和食/米/野菜/卵/辣/丰盛/濃厚/温暖/芸術的/家庭的/新鲜/怪诞/怪诞/地獄風
114 くるみ | 核桃面包 | 汎用 | 洋食/面包/牛奶/甜/软绵绵/松脆
115 エリー | 四月鱼 | 草莓 | 洋食/派/卵/甜/温暖/豪華/新鲜/松脆
116 夢月 | 恶魔风杂菜汤 | 卷心菜,洋葱,胡萝卜,番茄 | 洋食/汁物/野菜/野菜/香料/辣/温暖/温暖/濃厚/丰盛/新鲜
117 幻月 | 悪魔風味雞肉 | 鳥肉,野雞肉 | 洋食/肉料理/鳥肉/香料/咸/丰盛/濃厚/温暖/豪華/上品/豪快
118 ラルバ | 花蜜果冻 | 蜂蜜 | 洋食/果凍/甜/濃厚/野趣/野趣/扑鼻/生命力
119 ネムノ | 山の郷土料理 | 山菜 | 和食/葉物/米/虫肉/野菜/豆/咸/丰盛/健康/濃厚/温暖/野趣/野趣/野趣/家庭的/薬効/母亲的味道
120 あうん | 犬饭 | 平价食材 | 汁物/米/咸/丰盛/濃厚/温暖/野趣/野趣/野趣/野趣/野趣/家庭的
121 成美 | 地藏年糕 | 甜味料 | 和食/曲奇/甜/温暖/芸術的/松脆/生命力/魔力
122 舞 | 七夕奶油汤面 | 竹笋 | 和食/麺類/咸/简易/淡白/冷/冷/質素/上品/家庭的/生命力/闪耀
123 里乃 | 醋腌忘情茗荷 | 汎用 | 和食/葉物/野菜/酸/简易/健康/濃厚/質素/野趣/家庭的/妖力
124 隠岐奈 | 秘神火腿 | 獣肉 | 洋食/肉料理/野菜/酸/丰盛/豪華/上品/神力
125 女苑 | 意飯 | 番茄 | 洋食/披萨/野菜/獣肉/面包/香料/乳酪/咸/丰盛/垃圾/濃厚/温暖/新鲜/上品/絢爛
126 紫苑 | 炒豆芽 | 平价食材 | 和食/葉物/開胃/野菜/咸/简易/濃厚/温暖/質素/質素/質素/野趣/家庭的/貧乏飯
127 瓔花 | 巴别塔薄饼 | 甜味料 | 洋食/蛋糕/甜/丰盛/温暖/豪華/芸術的/豪快/软绵绵/冥界風
128 潤美 | 活花枝生魚片 | 好吃的魚 | 和食/魚料理/咸/简易/淡白/豪華/野趣/芸術的
129 久侘歌 | 雏鸟馒头 | 甜味料 | 和食/饅頭/米/甜/芸術的/上品/软绵绵
130 八千慧 | 魚翅湯 | 好吃的魚 | 中華/汁物/魚料理/香料/咸/简易/濃厚/温暖/豪華/上品/上品/扑鼻/畜生流
131 磨弓 | 哈尼肉包子 | 獣肉,竹笋,洋葱 | 中華/油炸食品/肉包/獣肉/野菜/咸/温暖/芸術的/松脆
132 袿姫 | 偶像制作的工艺点心 | 甜味料 | 甜/芸術的/芸術的/芸術的/松脆/神力
133 早鬼 | 鬼形圆松饼 | 甜味料 | 洋食/卵/牛奶/辣/芸術的/野趣/豪快/松脆/妖力/畜生流
134 美宵 | 鲵吞亭秘传炖菜 | 好吃的魚 | 和食/魚料理/咸/健康/濃厚/温暖/質素/上品/家庭的/プロの味
135 ミケ | 小判烧 | 汎用 | 和食/饅頭/甜/芸術的/豪華/豪華/软糯的
136 たかね | 绿色沙拉 | 山菜 | 洋食/葉物/野菜/酸/简易/健康/健康/質素/野趣/野趣/家庭的/薬効
137 駒草 | 檳榔花炒肉 | 獣肉,山菜 | 中華/野趣/香料/肉料理/咸/丰盛/豪華
138 魅須丸 | 勾玉曲奇 | 甜味料 | 甜味料/洋食/曲奇/卵/甜/芸術的/新鲜/松脆/神力/加護
139 典 | 狐狸米饭 | 胡萝卜 | 和食/米/野菜/咸/简易/淡白/温暖/質素/家庭的
140 龍 | 大天狗の麦飯 | 汎用 | 和食/米/咸/简易/淡白/質素/野趣/野趣/天狗流/魔性
141 千亦 | 彩虹小馅饼 | 草莓,西瓜,仙桃 | 洋食/蛋糕/甜/濃厚/豪華/芸術的/新鲜/扑鼻/彩り/闪耀
142 百々世 | 龙脊牛排 | 龍之爪,竜骨,竜血 | 洋食/牛扒/肉料理/香料/辣/丰盛/濃厚/温暖/豪華/豪快/魔力/強精/魔性
143 尤魔 | 刚欲兽神的晚餐 | 葱 | 中華/鍋物/香料/辣/丰盛/丰盛/濃厚/温暖/温暖/新鲜/豪快/怪诞/妖力/畜生流
144 影華扇 | 红烧熊掌 | 獣肉 | 中華/肉料理/獣肉/甜/咸/濃厚/濃厚/温暖/野趣/黏稠/豪快/豪快
145 小兎姫 | Decorated Sushi | 好吃的魚,魚 | 和食/魚料理/精妙/软绵绵/米/淡白/咸/機能的/魔性
146 エリス | Death By Chocolate | 高級巧克力,巧克力 | 
147 サリエル | Angel Cake | 高級巧克力,巧克力 | 蛋糕/卵/牛奶/甜/甜/辣/上品/豪華/简易/芸術的/加護/神力
148 サラ | Sara's Salad | 卷心菜,番茄,胡萝卜,黄瓜,芜菁,白菜,南瓜,山菜 | 葉物/野菜/酸/简易/健康/新鲜/家庭的/春物/野趣/松脆/松脆/質素/質素/樸素/樸素/樸素/薬効
149 オレンジ | Mandarin Sherbet | 冰淇淋 | 冰淇淋/甜/牛奶/卵/冷/冷/冷/夏物/質素/松脆/果実
150 コンガラ | Swordfish Steak | 好吃的魚 | 和食/魚料理/酸/咸/辣/丰盛/芸術的/野趣/简易/淡白/温暖/質素/家庭的
152 キクリ | Spring Chrysanthemum | 山菜 | 和食/野菜/さっぱり/葉物/大豆
153 美天 | 中式炸薯条 | 马铃薯 | 中華/油炸食品/開胃/野菜/咸/辣/垃圾/濃厚/温暖/松脆
154 慧ノ子 | 肉干 | 獣肉 | 開胃/肉料理/獣肉/野菜/咸/简易/濃厚/質素/野趣
155 ちやり | 血肠 | 獣肉 | 開胃/肉料理/野菜/咸/濃厚/野趣/新鲜/怪诞/精力
156 日狭美 | 葡萄叶寿司 | 山葡萄 | 和食/魚料理/米/酸/简易/淡白/野趣
157 残無 | 纯灵团子 | 甜味料 | 和食/淡白/淡白/淡白/软糯的/霊障
158 瑞霊 | 河豚皮肝拌饭 | 好吃的魚,魚 | 和食/松脆/冷/刺激的/甜
160 麟 | 圣餐饼 | 汎用 | 洋食/简易/家庭的/芸術的/狂熱

--- 助手效果 ---
1 霊夢 (人类/巫女) | 助手效果:薄味/得意料理＊和食＊ | 种族效果:神力
2 る～こと (机械/女僕) | 助手效果:化学的/得意料理＊家庭的＊ | 种族效果:女僕流
3 カナ (騒霊) | 助手效果:薄味 | 种族效果:霊障
4 魅魔 (悪霊/魔法使) | 助手效果:魔力 | 种族效果:魔力/霊障
5 サニー (妖精) | 助手效果:浓郁 | 种族效果:生命力
6 ルナ (妖精) | 助手效果:薄味 | 种族效果:生命力
7 スター (妖精) | 助手效果:隠し味 | 种族效果:生命力
8 ちゆり (外界人) | 助手效果:化学的 | 种族效果:外界風
9 夢美 (外界人) | 助手效果:化学的 | 种族效果:外界風
10 萃香 (鬼) | 助手效果:浓郁/刺激的 | 种族效果:妖力
11 魔理沙 (人类/魔法使) | 助手效果:魔性 | 种族效果:魔力
12 ルーミア (妖怪) | 助手效果:浓郁 | 种族效果:妖力
13 大妖精 (妖精) | 助手效果:薄味 | 种族效果:生命力
14 チルノ (妖精) | 助手效果:氷結/得意料理＊夏物＊ | 种族效果:生命力
15 咲夜 (人类/女僕) | 助手效果:隠し味/秘術 | 种族效果:女僕流
16 レミリア (吸血鬼) | 助手效果:得意料理＊洋食＊/絢爛 | 种族效果:妖力
17 アリス (妖怪/魔法使) | 助手效果:彩り/魔界風 | 种族效果:妖力/魔力
18 リリーＷ (妖精) | 助手效果:得意料理＊春物＊ | 种族效果:生命力
19 リリーＢ (妖精) | 助手效果:得意料理＊春物＊ | 种族效果:生命力
20 リリカ (騒霊) | 助手效果:隠し味 | 种族效果:霊障
21 メルラン (騒霊) | 助手效果:未知の味 | 种族效果:霊障
22 ルナサ (騒霊) | 助手效果:薄味 | 种族效果:霊障
23 妖夢 (人类/幽霊) | 助手效果:切れ味/冥界風 | 种族效果:霊障
24 橙 (妖獣) | 助手效果:妖力 | 种族效果:妖力
25 藍 (妖獣) | 助手效果:妖力/妖力/得意料理＊和食＊ | 种族效果:妖力
26 紫 (妖怪) | 助手效果:妖力/妖力/得意料理＊和食＊ | 种族效果:妖力
27 リグル (妖蟲) | 助手效果:得意料理＊野趣＊ | 种族效果:妖力
28 ミスティア (妖鳥) | 助手效果:得意料理＊魚料理＊ | 种族效果:妖力
29 文 (天狗) | 助手效果:得意料理＊秋物＊ | 种族效果:妖力/天狗流
30 映姫 (閻魔) | 助手效果:冥界風 | 种族效果:神力
31 早苗 (人类/巫女) | 助手效果:奇跡/外界風 | 种族效果:神力
32 神奈子 (神霊) | 助手效果:加護 | 种族效果:神力
33 諏訪子 (神霊) | 助手效果:加護/美味的水 | 种族效果:神力
34 天子 (天人) | 助手效果:天界風/絢爛 | 种族效果:
35 衣玖 (妖怪) | 助手效果:天界風 | 种族效果:妖力
36 お燐 (妖獣) | 助手效果:地獄風/地底風 | 种族效果:妖力
37 お空 (妖鳥) | 助手效果:地獄風/地底風/大火力 | 种族效果:妖力
38 こいし (妖怪) | 助手效果:地底風/心跳味 | 种族效果:妖力
39 ナズーリン (妖獣) | 助手效果:得意料理＊乳酪＊ | 种族效果:妖力
40 小傘 (付喪神) | 助手效果:心跳味 | 种族效果:道具の共鳴
41 ぬえ (妖怪) | 助手效果:未知の味 | 种族效果:妖力
42 はたて (天狗) | 助手效果:浓郁 | 种族效果:妖力/天狗流
43 華扇 (鬼) | 助手效果:浓郁/得意料理＊中華＊ | 种族效果:妖力
44 エレン (妖怪/魔法使) | 助手效果:得意料理＊软绵绵＊ | 种族效果:妖力/魔力
45 理香子 (妖怪/魔法使) | 助手效果:化学的 | 种族效果:妖力/魔力
46 明羅 (人类) | 助手效果:切れ味 | 种族效果:
47 里香 (人类) | 助手效果:化学的 | 种族效果:
48 ルイズ (魔界人) | 助手效果:魔界風 | 种族效果:魔力
49 さとり (妖怪) | 助手效果:地底風/得意料理＊家庭的＊ | 种族效果:妖力
50 フラン (吸血鬼/魔法使) | 助手效果:彩り/刺激的 | 种族效果:妖力/魔力
51 にとり (河童) | 助手效果:化学的/美味的水 | 种族效果:妖力
52 鈴仙 (妖獣) | 助手效果:玉兎流/得意料理＊健康＊ | 种族效果:妖力
53 てゐ (妖獣) | 助手效果:心跳味/幸運 | 种族效果:妖力
54 パチュリー (妖怪/魔法使) | 助手效果:彩り/隠し味 | 种族效果:妖力/魔力
55 白蓮 (妖怪/魔法使) | 助手效果:魔界風/得意料理＊質素＊ | 种族效果:妖力/魔力
56 神子 (仙人/神霊) | 助手效果:絢爛 | 种族效果:仙術/神力
57 こころ (付喪神) | 助手效果:彩り | 种族效果:道具の共鳴
58 美鈴 (妖怪) | 助手效果:得意料理＊中華＊ | 种族效果:妖力
59 小悪魔 (悪魔) | 助手效果:魔界風/刺激的 | 种族效果:妖力/魔力
60 パルスィ (妖怪) | 助手效果:地底風/嫉妬 | 种族效果:妖力
61 妹紅 (人类/蓬莱人) | 助手效果:大火力/得意料理＊鳥肉＊ | 种族效果:
62 輝夜 (月人/蓬莱人) | 助手效果:月都風/彩り/上品 | 种族效果:
63 影狼 (妖獣) | 助手效果:浓郁/得意料理＊肉料理＊ | 种族效果:妖力
64 勇儀 (鬼) | 助手效果:地底風/得意料理＊豪快＊ | 种族效果:妖力
65 椛 (天狗) | 助手效果:切れ味/得意料理＊秋物＊ | 种族效果:妖力/天狗流
66 幽々子 (亡霊) | 助手效果:冥界風/得意料理＊春物＊ | 种族效果:霊障
67 慧音 (人类/妖獣) | 助手效果:得意料理＊家庭的＊ | 种族效果:妖力
68 幽香 (妖怪) | 助手效果:夢幻風 | 种族效果:妖力
69 マミゾウ (妖獣/人妻) | 助手效果:心跳味 | 种族效果:妖力
70 小鈴 (人类) | 助手效果:薄味 | 种族效果:
71 針妙丸 (小人) | 助手效果:得意料理＊上品＊ | 种族效果:妖力/小人族秘伝の味
72 永琳 (月人/蓬莱人) | 助手效果:月都風/薬効 | 种族效果:
73 蛮奇 (妖怪) | 助手效果:薄味 | 种族效果:妖力
74 レティ (妖怪) | 助手效果:氷結/得意料理＊冬物＊ | 种族效果:妖力
75 メディスン (人形) | 助手效果:刺激的 | 种族效果:
76 小町 (死神) | 助手效果:冥界風 | 种族效果:神力
77 静葉 (神霊) | 助手效果:絢爛/得意料理＊秋物＊ | 种族效果:神力
78 穣子 (神霊) | 助手效果:豊穣/得意料理＊秋物＊ | 种族效果:神力
79 雛 (神霊) | 助手效果:隠し味/得意料理＊家庭的＊ | 种族效果:神力
80 阿求 (人类) | 助手效果:薄味/稗田家秘伝の味 | 种族效果:
81 蓮子 (外界人) | 助手效果:化学的/得意料理＊垃圾＊ | 种族效果:外界風
82 メリー (外界人) | 助手效果:化学的/得意料理＊洋食＊ | 种族效果:外界風
83 キスメ (妖怪) | 助手效果:地底風/心跳味 | 种族效果:妖力
84 ヤマメ (妖蟲) | 助手效果:地底風/得意料理＊虫肉＊ | 种族效果:妖力
85 一輪 (妖怪) | 助手效果:薄味/得意料理＊软绵绵＊ | 种族效果:妖力
86 ムラサ (幽霊) | 助手效果:刺激的/美味的水 | 种族效果:霊障
87 星 (妖獣) | 助手效果:幸運/得意料理＊肉料理＊ | 种族效果:妖力
88 響子 (妖獣) | 助手效果:浓郁/得意料理＊家庭的＊ | 种族效果:妖力
89 芳香 (僵尸) | 助手效果:未知の味 | 种族效果:
90 青娥 (仙人/人妻) | 助手效果:妖力/霊障/得意料理＊中華＊ | 种族效果:仙術
91 屠自古 (亡霊) | 助手效果:刺激的 | 种族效果:霊障
92 布都 (仙人) | 助手效果:薄味/得意料理＊和食＊ | 种族效果:仙術
93 わかさぎ姫 (妖怪) | 助手效果:美味的水/得意料理＊淡白＊ | 种族效果:妖力
94 弁々 (付喪神) | 助手效果:薄味 | 种族效果:道具の共鳴
95 八橋 (付喪神) | 助手效果:浓郁 | 种族效果:道具の共鳴
96 雷鼓 (付喪神) | 助手效果:刺激的 | 种族效果:道具の共鳴
97 正邪 (妖怪) | 助手效果:逆転 | 种族效果:妖力
98 依姫 (月人) | 助手效果:月都風/切れ味/神力/神力 | 种族效果:
99 豊姫 (月人) | 助手效果:月都風/幸運 | 种族效果:
100 レイセン (妖獣) | 助手效果:玉兎流 | 种族效果:妖力
101 朱鷺子 (妖鳥) | 助手效果:薄味 | 种族效果:妖力
102 神綺 (神霊) | 助手效果:魔界風/母亲的味道 | 种族效果:神力
103 夢子 (魔界人/女僕) | 助手效果:魔界風 | 种族效果:女僕流/魔力
104 ユキ (魔界人/魔法使) | 助手效果:魔界風 | 种族效果:魔力
105 マイ (魔界人/魔法使) | 助手效果:魔界風 | 种族效果:魔力
106 菫子 (外界人) | 助手效果:秘術 | 种族效果:外界風
107 清蘭 (妖獣) | 助手效果:玉兎流/薄味 | 种族效果:妖力
108 鈴瑚 (妖獣) | 助手效果:玉兎流/浓郁 | 种族效果:妖力
109 ドレミー (妖怪) | 助手效果:未知の味 | 种族效果:妖力
110 サグメ (月人) | 助手效果:月都風 | 种族效果:
111 クラウンピース (妖精) | 助手效果:地獄風 | 种族效果:生命力
112 純狐 (神霊/人妻) | 助手效果:純化的味道/得意料理＊中華＊ | 种族效果:母亲的味道/神力
113 ヘカーティア (神霊) | 助手效果:地獄風/魔力 | 种族效果:神力
114 くるみ (吸血鬼) | 助手效果:夢幻風 | 种族效果:妖力
115 エリー (妖怪) | 助手效果:夢幻風 | 种族效果:妖力
116 夢月 (悪魔) | 助手效果:夢幻風/女僕流 | 种族效果:妖力/魔力
117 幻月 (悪魔) | 助手效果:夢幻風 | 种族效果:妖力/魔力
118 ラルバ (妖精) | 助手效果:得意料理＊夏物＊ | 种族效果:生命力
119 ネムノ (妖怪) | 助手效果:母亲的味道/得意料理＊秋物＊ | 种族效果:妖力
120 あうん (妖獣) | 助手效果:浓郁/得意料理＊春物＊ | 种族效果:妖力
121 成美 (魔像/魔法使) | 助手效果:薄味/得意料理＊冬物＊ | 种族效果:魔力
122 舞 (人类) | 助手效果:魔性/浓郁 | 种族效果:
123 里乃 (人类) | 助手效果:魔性/薄味 | 种族效果:
124 隠岐奈 (神霊) | 助手效果:魔性/加護/絢爛 | 种族效果:神力
125 女苑 (神霊) | 助手效果:絢爛 | 种族效果:神力
126 紫苑 (神霊) | 助手效果:貧乏飯 | 种族效果:神力
127 瓔花 (幽霊) | 助手效果:冥界風/幸運/美味的水 | 种族效果:霊障
128 潤美 (妖獣) | 助手效果:冥界風/得意料理＊魚＊ | 种族效果:妖力
129 久侘歌 (神霊) | 助手效果:冥界風 | 种族效果:神力
130 八千慧 (妖獣) | 助手效果:畜生流/幸運/得意料理＊中華＊ | 种族效果:妖力
131 磨弓 (埴輪) | 助手效果:切れ味/薄味 | 种族效果:
132 袿姫 (神霊) | 助手效果:彩り/隠し味 | 种族效果:神力
133 早鬼 (妖獣) | 助手效果:畜生流/得意料理＊豪快＊ | 种族效果:妖力
134 美宵 (座敷童子) | 助手效果:プロの味 | 种族效果:妖力
135 ミケ (妖獣) | 助手效果:幸運 | 种族效果:妖力
136 たかね (山童) | 助手效果:得意料理＊葉物＊ | 种族效果:妖力
137 駒草 (妖怪) | 助手效果:得意料理＊垃圾＊ | 种族效果:妖力
138 魅須丸 (神霊) | 助手效果:得意料理＊和食＊ | 种族效果:神力
139 典 (妖獣) | 助手效果:隠し味 | 种族效果:妖力
140 龍 (天狗) | 助手效果:薄味 | 种族效果:妖力/天狗流
141 千亦 (神霊) | 助手效果:彩り | 种族效果:神力
142 百々世 (妖蟲) | 助手效果:刺激的 | 种族效果:妖力
143 尤魔 (妖獣) | 助手效果:畜生流 | 种族效果:妖力
144 影華扇 (鬼) | 助手效果:浓郁/得意料理＊豪快＊ | 种族效果:妖力
145 小兎姫 (人类) | 助手效果:精妙/不思議/得意料理＊霊障＊ | 种族效果:
146 エリス (悪魔) | 助手效果:魔界風/刺激的 | 种族效果:妖力/魔力
147 サリエル (妖怪) | 助手效果:神力/天界風/魔界風 | 种族效果:妖力
148 サラ (魔界人) | 助手效果:魔界風 | 种族效果:魔力
149 オレンジ (妖怪) | 助手效果:果物 | 种族效果:妖力
150 コンガラ (神霊) | 助手效果:地獄風/切れ味/得意料理＊質素＊ | 种族效果:神力
151 ユウゲンマガン (妖怪) | 助手效果:魔界風 | 种族效果:妖力
152 キクリ (神霊) | 助手效果:闪耀/神力/魔界風 | 种族效果:神力
153 美天 (妖獣) | 助手效果:畜生流/得意料理＊中華＊ | 种族效果:妖力
154 慧ノ子 (妖獣) | 助手效果:畜生流 | 种族效果:妖力
155 ちやり (妖獣) | 助手效果:血の魔力 | 种族效果:妖力
156 日狭美 (妖怪) | 助手效果:地獄風/得意料理＊野趣＊ | 种族效果:妖力
157 残無 (人类/鬼) | 助手效果:地獄風/薄味 | 种族效果:妖力
158 瑞霊 (悪霊) | 助手效果:怪しい | 种族效果:霊障
159 先代 (人类/巫女) | 助手效果:薄味/得意料理＊和食＊ | 种族效果:神力
160 麟 (妖怪) | 助手效果:薬効 | 种族效果:妖力
